forecast_origin_utc,window_start_utc,window_end_utc,predicted_mean_gco2_per_kwh,predicted_emissions_gco2,actual_mean_gco2_per_kwh,actual_emissions_gco2,oracle_start_utc,oracle_end_utc,oracle_emissions_gco2,average_window_emissions_gco2,emissions_error_gco2,abs_emissions_error_gco2,savings_vs_average_gco2,regret_vs_oracle_gco2,date,Fixed 02:00-04:00 (overnight off-peak),Fixed 12:00-14:00 (midday solar peak),Fixed 18:00-20:00 (evening peak)
2025-11-01 00:00:00+00:00,2025-11-01 22:00:00+00:00,2025-11-02 00:00:00+00:00,51.75,103.5,68.5,137.0,2025-11-01 08:30:00+00:00,2025-11-01 10:30:00+00:00,71.5,126.44444444444444,33.5,33.5,-10.555555555555557,65.5,2025-11-01,88.0,102.0,199.0
2025-11-02 00:00:00+00:00,2025-11-02 08:30:00+00:00,2025-11-02 10:30:00+00:00,35.75,71.5,70.75,141.5,2025-11-02 21:30:00+00:00,2025-11-02 23:30:00+00:00,125.0,162.87777777777777,70.0,70.0,21.377777777777766,16.5,2025-11-02,141.5,147.0,206.5
2025-11-03 00:00:00+00:00,2025-11-03 21:30:00+00:00,2025-11-03 23:30:00+00:00,62.5,125.0,64.0,128.0,2025-11-03 10:30:00+00:00,2025-11-03 12:30:00+00:00,111.5,130.85555555555555,3.0,3.0,2.8555555555555543,16.5,2025-11-03,119.0,118.0,146.5
2025-11-04 00:00:00+00:00,2025-11-04 10:30:00+00:00,2025-11-04 12:30:00+00:00,55.75,111.5,72.25,144.5,2025-11-04 02:00:00+00:00,2025-11-04 04:00:00+00:00,113.5,164.85555555555555,33.0,33.0,20.355555555555554,31.0,2025-11-04,113.5,169.0,229.5
2025-11-05 00:00:00+00:00,2025-11-05 02:00:00+00:00,2025-11-05 04:00:00+00:00,56.75,113.5,63.5,127.0,2025-11-05 03:00:00+00:00,2025-11-05 05:00:00+00:00,119.0,222.84444444444443,13.5,13.5,95.84444444444443,8.0,2025-11-05,127.0,237.5,288.5
2025-11-06 00:00:00+00:00,2025-11-06 03:00:00+00:00,2025-11-06 05:00:00+00:00,59.5,119.0,130.5,261.0,2025-11-06 00:00:00+00:00,2025-11-06 02:00:00+00:00,243.5,414.23333333333335,142.0,142.0,153.23333333333335,17.5,2025-11-06,256.0,457.5,493.5
2025-11-07 00:00:00+00:00,2025-11-07 00:00:00+00:00,2025-11-07 02:00:00+00:00,121.75,243.5,194.75,389.5,2025-11-07 22:00:00+00:00,2025-11-08 00:00:00+00:00,349.0,405.18888888888887,146.0,146.0,15.688888888888869,40.5,2025-11-07,371.0,401.0,422.5
2025-11-08 00:00:00+00:00,2025-11-08 22:00:00+00:00,2025-11-09 00:00:00+00:00,174.5,349.0,146.25,292.5,2025-11-08 22:00:00+00:00,2025-11-09 00:00:00+00:00,292.5,375.35555555555555,-56.5,56.5,82.85555555555555,0.0,2025-11-08,339.0,363.0,422.5
2025-11-09 00:00:00+00:00,2025-11-09 22:00:00+00:00,2025-11-10 00:00:00+00:00,146.25,292.5,95.25,190.5,2025-11-09 22:00:00+00:00,2025-11-10 00:00:00+00:00,190.5,295.0777777777778,-102.0,102.0,104.57777777777778,0.0,2025-11-09,279.0,293.0,374.0
2025-11-10 00:00:00+00:00,2025-11-10 22:00:00+00:00,2025-11-11 00:00:00+00:00,95.25,190.5,103.25,206.5,2025-11-10 01:30:00+00:00,2025-11-10 03:30:00+00:00,162.0,267.52222222222224,16.0,16.0,61.02222222222224,44.5,2025-11-10,162.5,294.5,360.5
2025-11-11 00:00:00+00:00,2025-11-11 01:30:00+00:00,2025-11-11 03:30:00+00:00,81.0,162.0,86.5,173.0,2025-11-11 22:00:00+00:00,2025-11-12 00:00:00+00:00,84.0,187.64444444444445,11.0,11.0,14.644444444444446,89.0,2025-11-11,170.5,204.5,147.5
2025-11-12 00:00:00+00:00,2025-11-12 22:00:00+00:00,2025-11-13 00:00:00+00:00,42.0,84.0,60.5,121.0,2025-11-12 00:00:00+00:00,2025-11-12 02:00:00+00:00,88.0,210.1,37.0,37.0,89.1,33.0,2025-11-12,90.5,276.5,295.0
2025-11-13 00:00:00+00:00,2025-11-13 00:00:00+00:00,2025-11-13 02:00:00+00:00,44.0,88.0,60.25,120.5,2025-11-13 02:30:00+00:00,2025-11-13 04:30:00+00:00,101.5,226.88888888888889,32.5,32.5,106.38888888888889,19.0,2025-11-13,102.0,250.5,365.5
2025-11-14 00:00:00+00:00,2025-11-14 02:30:00+00:00,2025-11-14 04:30:00+00:00,50.75,101.5,54.0,108.0,2025-11-14 03:00:00+00:00,2025-11-14 05:00:00+00:00,106.5,160.03333333333333,6.5,6.5,52.03333333333333,1.5,2025-11-14,110.0,197.5,162.0
2025-11-15 00:00:00+00:00,2025-11-15 03:00:00+00:00,2025-11-15 05:00:00+00:00,53.25,106.5,46.5,93.0,2025-11-15 02:30:00+00:00,2025-11-15 04:30:00+00:00,93.0,206.2111111111111,-13.5,13.5,113.21111111111111,0.0,2025-11-15,95.5,239.5,329.5
2025-11-16 00:00:00+00:00,2025-11-16 02:30:00+00:00,2025-11-16 04:30:00+00:00,46.5,93.0,115.5,231.0,2025-11-16 22:00:00+00:00,2025-11-17 00:00:00+00:00,163.5,296.6111111111111,138.0,138.0,65.61111111111109,67.5,2025-11-16,232.0,345.0,341.5
2025-11-17 00:00:00+00:00,2025-11-17 22:00:00+00:00,2025-11-18 00:00:00+00:00,81.75,163.5,170.25,340.5,2025-11-17 03:00:00+00:00,2025-11-17 05:00:00+00:00,98.5,283.96666666666664,177.0,177.0,-56.53333333333336,242.0,2025-11-17,106.0,271.5,425.0
