forecast_origin_utc,window_start_utc,predicted_emissions_gco2,actual_emissions_gco2,Fixed 02:00-04:00 (overnight off-peak),Fixed 12:00-14:00 (midday solar peak),Fixed 18:00-20:00 (evening peak)
2025-11-01 00:00:00+00:00,2025-11-01 03:00:00+00:00,157.9175156636927,90.5,88.0,102.0,199.0
2025-11-02 00:00:00+00:00,2025-11-02 08:30:00+00:00,139.08686433666526,141.5,141.5,147.0,206.5
2025-11-03 00:00:00+00:00,2025-11-03 09:30:00+00:00,201.74776984952103,114.5,119.0,118.0,146.5
2025-11-04 00:00:00+00:00,2025-11-04 09:30:00+00:00,194.69364125740412,141.0,113.5,169.0,229.5
2025-11-05 00:00:00+00:00,2025-11-05 03:30:00+00:00,199.4956367323271,119.5,127.0,237.5,288.5
2025-11-06 00:00:00+00:00,2025-11-06 03:30:00+00:00,199.92255364547964,276.0,256.0,457.5,493.5
2025-11-07 00:00:00+00:00,2025-11-07 02:30:00+00:00,280.5378834238521,372.0,371.0,401.0,422.5
2025-11-08 00:00:00+00:00,2025-11-08 02:30:00+00:00,307.5967353611885,338.5,339.0,363.0,422.5
2025-11-09 00:00:00+00:00,2025-11-09 22:00:00+00:00,318.9609511518631,190.5,279.0,293.0,374.0
2025-11-10 00:00:00+00:00,2025-11-10 09:00:00+00:00,295.07417148810896,261.0,162.5,294.5,360.5
2025-11-11 00:00:00+00:00,2025-11-11 03:00:00+00:00,273.3474266914053,167.0,170.5,204.5,147.5
2025-11-12 00:00:00+00:00,2025-11-12 22:00:00+00:00,227.47811466200704,121.0,90.5,276.5,295.0
2025-11-13 00:00:00+00:00,2025-11-13 03:30:00+00:00,198.69165188611524,106.5,102.0,250.5,365.5
2025-11-14 00:00:00+00:00,2025-11-14 03:30:00+00:00,195.09157767305936,106.5,110.0,197.5,162.0
2025-11-15 00:00:00+00:00,2025-11-15 04:00:00+00:00,156.9195365095976,96.0,95.5,239.5,329.5
2025-11-16 00:00:00+00:00,2025-11-16 04:30:00+00:00,181.04740721663282,224.0,232.0,345.0,341.5
2025-11-17 00:00:00+00:00,2025-11-17 05:00:00+00:00,274.45552175053206,195.5,106.0,271.5,425.0
2025-11-18 00:00:00+00:00,2025-11-18 03:00:00+00:00,256.0395206840144,302.0,312.5,382.5,399.0
2025-11-19 00:00:00+00:00,2025-11-19 03:30:00+00:00,308.5358769030568,169.5,151.5,268.0,344.5
