window_start_utc,window_end_utc,energy_kwh,predicted_mean_gco2_per_kwh,predicted_emissions_gco2,forecast_method
2025-11-01 22:00:00+00:00,2025-11-02 00:00:00+00:00,2.0,51.75,103.5,Same time yesterday
2025-11-01 21:30:00+00:00,2025-11-01 23:30:00+00:00,2.0,52.5,105.0,Same time yesterday
2025-11-01 20:30:00+00:00,2025-11-01 22:30:00+00:00,2.0,54.5,109.0,Same time yesterday
2025-11-01 21:00:00+00:00,2025-11-01 23:00:00+00:00,2.0,54.5,109.0,Same time yesterday
2025-11-01 20:00:00+00:00,2025-11-01 22:00:00+00:00,2.0,56.0,112.0,Same time yesterday
2025-11-01 19:30:00+00:00,2025-11-01 21:30:00+00:00,2.0,58.75,117.5,Same time yesterday
2025-11-01 19:00:00+00:00,2025-11-01 21:00:00+00:00,2.0,60.5,121.0,Same time yesterday
2025-11-01 08:30:00+00:00,2025-11-01 10:30:00+00:00,2.0,62.5,125.0,Same time yesterday
2025-11-01 00:00:00+00:00,2025-11-01 02:00:00+00:00,2.0,63.0,126.0,Same time yesterday
2025-11-01 00:30:00+00:00,2025-11-01 02:30:00+00:00,2.0,64.0,128.0,Same time yesterday
2025-11-01 08:00:00+00:00,2025-11-01 10:00:00+00:00,2.0,64.25,128.5,Same time yesterday
2025-11-01 09:00:00+00:00,2025-11-01 11:00:00+00:00,2.0,64.25,128.5,Same time yesterday
2025-11-01 18:30:00+00:00,2025-11-01 20:30:00+00:00,2.0,64.25,128.5,Same time yesterday
2025-11-01 03:00:00+00:00,2025-11-01 05:00:00+00:00,2.0,64.75,129.5,Same time yesterday
2025-11-01 01:00:00+00:00,2025-11-01 03:00:00+00:00,2.0,65.0,130.0,Same time yesterday
2025-11-01 09:30:00+00:00,2025-11-01 11:30:00+00:00,2.0,65.25,130.5,Same time yesterday
2025-11-01 01:30:00+00:00,2025-11-01 03:30:00+00:00,2.0,65.5,131.0,Same time yesterday
2025-11-01 02:30:00+00:00,2025-11-01 04:30:00+00:00,2.0,65.5,131.0,Same time yesterday
2025-11-01 07:30:00+00:00,2025-11-01 09:30:00+00:00,2.0,65.5,131.0,Same time yesterday
2025-11-01 03:30:00+00:00,2025-11-01 05:30:00+00:00,2.0,66.0,132.0,Same time yesterday
2025-11-01 02:00:00+00:00,2025-11-01 04:00:00+00:00,2.0,66.25,132.5,Same time yesterday
2025-11-01 13:00:00+00:00,2025-11-01 15:00:00+00:00,2.0,67.0,134.0,Same time yesterday
2025-11-01 12:30:00+00:00,2025-11-01 14:30:00+00:00,2.0,67.25,134.5,Same time yesterday
2025-11-01 18:00:00+00:00,2025-11-01 20:00:00+00:00,2.0,67.25,134.5,Same time yesterday
2025-11-01 04:00:00+00:00,2025-11-01 06:00:00+00:00,2.0,67.5,135.0,Same time yesterday
2025-11-01 10:00:00+00:00,2025-11-01 12:00:00+00:00,2.0,67.5,135.0,Same time yesterday
2025-11-01 12:00:00+00:00,2025-11-01 14:00:00+00:00,2.0,68.0,136.0,Same time yesterday
2025-11-01 17:30:00+00:00,2025-11-01 19:30:00+00:00,2.0,68.5,137.0,Same time yesterday
2025-11-01 13:30:00+00:00,2025-11-01 15:30:00+00:00,2.0,68.75,137.5,Same time yesterday
2025-11-01 07:00:00+00:00,2025-11-01 09:00:00+00:00,2.0,69.0,138.0,Same time yesterday
2025-11-01 10:30:00+00:00,2025-11-01 12:30:00+00:00,2.0,69.0,138.0,Same time yesterday
2025-11-01 11:00:00+00:00,2025-11-01 13:00:00+00:00,2.0,69.25,138.5,Same time yesterday
2025-11-01 11:30:00+00:00,2025-11-01 13:30:00+00:00,2.0,69.25,138.5,Same time yesterday
2025-11-01 14:00:00+00:00,2025-11-01 16:00:00+00:00,2.0,70.25,140.5,Same time yesterday
2025-11-01 17:00:00+00:00,2025-11-01 19:00:00+00:00,2.0,70.25,140.5,Same time yesterday
2025-11-01 04:30:00+00:00,2025-11-01 06:30:00+00:00,2.0,70.5,141.0,Same time yesterday
2025-11-01 16:30:00+00:00,2025-11-01 18:30:00+00:00,2.0,71.25,142.5,Same time yesterday
2025-11-01 06:30:00+00:00,2025-11-01 08:30:00+00:00,2.0,72.0,144.0,Same time yesterday
2025-11-01 05:00:00+00:00,2025-11-01 07:00:00+00:00,2.0,73.0,146.0,Same time yesterday
2025-11-01 16:00:00+00:00,2025-11-01 18:00:00+00:00,2.0,73.0,146.0,Same time yesterday
2025-11-01 06:00:00+00:00,2025-11-01 08:00:00+00:00,2.0,73.5,147.0,Same time yesterday
2025-11-01 14:30:00+00:00,2025-11-01 16:30:00+00:00,2.0,73.5,147.0,Same time yesterday
2025-11-01 15:30:00+00:00,2025-11-01 17:30:00+00:00,2.0,73.75,147.5,Same time yesterday
2025-11-01 05:30:00+00:00,2025-11-01 07:30:00+00:00,2.0,74.5,149.0,Same time yesterday
2025-11-01 15:00:00+00:00,2025-11-01 17:00:00+00:00,2.0,74.75,149.5,Same time yesterday
