month,count,mean,median,min,max
Jan,1488,168.22110215053763,175.5,35.0,293.0
Feb,1344,147.54613095238096,151.0,43.0,256.0
Mar,1488,146.3904569892473,151.0,37.0,269.0
Apr,1440,133.03472222222223,130.0,34.0,251.0
May,1488,106.40456989247312,99.0,24.0,235.0
Jun,1440,98.78402777777778,89.0,31.0,231.0
Jul,1488,129.16397849462365,132.0,33.0,233.0
Aug,1488,123.62567204301075,124.0,34.0,242.0
Sep,1440,112.49722222222222,104.0,34.0,260.0
Oct,1488,138.34274193548387,127.0,32.0,279.0
Nov,1440,126.09375,113.0,33.0,260.0
Dec,1488,120.1989247311828,113.0,38.0,241.0
